電影中文名稱,電影英文名稱,類型,國家,上映年份,導演,演員,Hami詳細頁Url,hami_rating,hami_duration,imdb_id,rt_tomatometer,rt_audience_score,douban_rating,imdb_rating,metacritic_rating,rt_tomatometer_omdb
捍衛任務4,John Wick: Chapter 4,動作,美加,2023,查德史塔赫斯基,"基努李維, 甄子丹, 比爾史柯斯嘉, 勞倫斯費許朋, 伊恩麥克薛恩, 真田廣之, 澤山璃奈",https://hamivideo.hinet.net/product/227949.do?cs=2,4.4,169分鐘,tt10366206,94%,93%,7.3,7.6,78/100,
九龍城寨之圍城,Twilight of the Warriors：Walled In,動作,香港,2024,鄭保瑞,"古天樂, 洪金寶, 任賢齊, 郭富城, 林峯, 劉俊謙, 黃德斌, 伍允龍, 胡子彤, 張文傑",https://hamivideo.hinet.net/product/272166.do?cs=2,4.4,125分鐘,tt20316748,90%,85%,7.2,6.9,77/100,
玩命特攻：武演行動,Operation Fortune: Ruse de guerre,動作,美加,2023,蓋瑞奇,"傑森史塔森, 喬許哈奈特, 休葛蘭, 奧布瑞普拉薩, 布吉馬龍, 凱瑞艾文斯",https://hamivideo.hinet.net/product/222565.do?cs=2,4.1,113分鐘,tt7985704,51%,82%,5.5,6.3,51/100,
名偵探柯南 黑鐵的魚影(日語),Detective Conan The Movie: Black Iron Submarine,動畫,日本,2023,立川讓,"高山南, 林原惠, 堀之紀",https://hamivideo.hinet.net/product/247596.do?cs=2,4.7,109分鐘,tt27521477,NoRating,88%,6.5,7.2,NoRating,
電影哆啦A夢：大雄的地球交響樂,Doraemon the Movie: Nobita’s Earth Symphony,動畫,日本,2024,今井一曉,"水田山葵, 大原惠, 嘉數由美, 木村昴, 關智一, 田村睦心, 芳根京子, 悠木碧, 天月",https://hamivideo.hinet.net/product/283750.do?cs=2,4.5,115分鐘,tt29402528,NoRating,58%,6.6,6.6,NoRating,
捍衛任務：復仇芭蕾,Ballerina,動作,美加,2025,藍威斯曼,"安娜德哈瑪斯, 基努李維, 伊恩麥克薛恩, 諾曼李杜斯",https://hamivideo.hinet.net/product/304788.do?cs=2,4.2,124分鐘,tt7181546,75%,92%,6.8,6.8,59/100,
哪吒之魔童降世,Ne Zha,動畫,中國,2019,餃子,"呂艷婷, 囧森瑟夫, 瀚墨, 陳浩",https://hamivideo.hinet.net/product/131558.do?cs=2,4.3,104分鐘,tt10627720,91%,98%,8.4,7.3,56/100,
名偵探柯南 100萬美元的五稜星,Detective Conan The Movie: The Million-dollar Pentagram,動畫,日本,2024,永岡智佳,"高山南, 山口勝平, 堀川亮, 宮村優子",https://hamivideo.hinet.net/product/281855.do?cs=2,4.7,110分鐘,tt31474158,NoRating,78%,6.6,6.6,NoRating,
全知讀者視角,Omniscient Reader: The Prophecy,動作,韓國,2025,金秉祐,"安孝燮, 李敏鎬, 蔡秀彬, 申承浩, NANA, JISOO, 權恩成, 朴號山, 崔永葰",https://hamivideo.hinet.net/product/309168.do?cs=2,4.3,116分鐘,tt30254719,25%,38%,6.3,5.9,NoRating,
名偵探柯南 獨眼的殘像,Detective Conan The Movie: One-Eyed Flashback,動畫,日本,2022,重原克也,"高山南, 山口勝平, 高田裕司, 速水獎, 小清水亞美",https://hamivideo.hinet.net/product/312826.do?cs=2,4.6,109分鐘,tt35444710,NoRating,NoRating,6.7,6.6,NoRating,
